;b1;b2;c1;c2;c3;d1;d2;d3;d4;e1;e2;e3;e4;e5;e6;e7;e8;f1;f2;f3;f4;g1;g2;g3;g4;g5;j1;j2;j3;j4;j5;u1;u2;u3;u4;u5;u6;u7;u8
Tanypodinae;3;0;0;3;0;0;3;3;0;0;0;0;1;3;0;0;0;2;1;1;1;0;0;0;0;3;3;1;0;0;0;0;0;3;2;1;1;0;0
Pentaneurinii;3;0;0;3;0;0;3;3;0;0;0;0;1;3;0;0;0;2;1;1;1;0;0;0;0;3;3;1;0;0;0;0;0;3;2;1;1;0;0
Macropelopinii;3;0;0;3;0;0;3;3;0;0;0;0;1;3;0;0;0;2;1;1;1;0;0;0;0;3;3;1;0;0;0;0;0;3;2;1;1;0;0
Tanytarsinii;3;0;0;3;3;0;3;3;0;1;0;0;1;3;0;0;0;1;1;3;1;0;0;0;1;3;3;1;0;0;0;0;0;2;3;0;1;2;0
Tinodes;3;0;0;2;3;3;3;3;0;0;0;0;3;0;0;0;0;2;1;1;1;0;0;0;0;3;3;0;0;0;0;0;0;0;2;0;0;3;1
Tipulidae;2;3;1;3;1;2;2;2;0;0;3;0;0;0;0;1;0;0;1;0;1;0;2;0;0;2;2;1;0;3;0;0;0;0;1;4;0;0;0
Tipula;2;3;1;3;1;2;2;2;0;0;3;0;0;0;0;1;0;0;1;0;1;0;2;0;0;2;2;1;0;3;0;0;0;0;1;4;0;0;0
Velia;3;0;0;3;1;0;2;0;2;0;0;0;3;0;0;3;0;1;3;0;1;0;0;0;3;0;0;0;0;3;0;1;4;0;0;0;0;0;0
Oligochaeta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hydracarina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Procambarus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
